"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-01","0.00","0.0","0.0",,"54","29"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-02","0.00","0.0","0.0",,"56","25"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-03","0.01","0.0","0.0",,"54","35"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-04","0.00","0.0","0.0",,"57","27"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-05","0.00","0.0","0.0",,"59","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-06","0.00","0.0","0.0",,"67","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-07","0.00","0.0","0.0",,"67","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-08","0.00","0.0","0.0",,"61","34"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-09","0.12","0.0","0.0",,"62","52"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-10","2.68","0.0","0.0",,"63","50"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-11","0.00","0.0","0.0",,"50","26"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-12","0.00","0.0","0.0",,"47","22"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-13","0.00","0.0","0.0",,"56","23"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-14","0.03","0.0","0.0",,"54","28"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-15","0.01","0.1","0.0",,"31","17"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-16","0.00","0.0","0.0",,"46","15"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-17","0.02","0.0","0.0",,"50","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-18","0.00","0.0","0.0",,"39","23"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-19","0.00","0.0","0.0",,"40","18"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-20","0.00","0.0","0.0",,"36","20"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-21","0.00","0.0","0.0",,"50","14"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-22","0.00","0.0","0.0",,"49","35"
